symbol,days_total,up_1pct_days,up_5pct_days,up_10pct_days,start_date,end_date,last_price_usd,min_invest_jpy,up1_ratio
MCHP,248,78,10,4,2024-12-03,2025-11-28,53.58,8037,0.31451612903225806
CNC,248,77,10,1,2024-12-03,2025-11-28,39.34,5901,0.31048387096774194
LVS,248,77,7,2,2024-12-03,2025-11-28,68.16,10224,0.31048387096774194
GE,248,77,3,1,2024-12-03,2025-11-28,298.45,44768,0.31048387096774194
AES,248,77,9,3,2024-12-03,2025-11-28,14.06,2109,0.31048387096774194
APTV,248,77,6,1,2024-12-03,2025-11-28,77.55,11633,0.31048387096774194
CTRA,248,76,2,0,2024-12-03,2025-11-28,26.84,4026,0.3064516129032258
UNH,248,76,5,1,2024-12-03,2025-11-28,329.77,49465,0.3064516129032258
BX,248,76,3,1,2024-12-03,2025-11-28,146.42,21963,0.3064516129032258
HUM,248,76,5,3,2024-12-03,2025-11-28,245.77,36866,0.3064516129032258
ETN,248,76,1,1,2024-12-03,2025-11-28,345.89,51884,0.3064516129032258
DOW,248,76,9,2,2024-12-03,2025-11-28,23.85,3578,0.3064516129032258
FTNT,248,76,2,1,2024-12-03,2025-11-28,81.13,12169,0.3064516129032258
NTAP,248,75,2,1,2024-12-03,2025-11-28,111.56,16734,0.3024193548387097
NUE,248,75,4,2,2024-12-03,2025-11-28,159.49,23924,0.3024193548387097
EXPE,248,75,6,3,2024-12-03,2025-11-28,255.69,38354,0.3024193548387097
MOS,248,75,4,0,2024-12-03,2025-11-28,24.49,3673,0.3024193548387097
IBM,248,75,5,1,2024-12-03,2025-11-28,308.58,46287,0.3024193548387097
EXE,248,75,2,0,2024-12-03,2025-11-28,121.93,18290,0.3024193548387097
BXP,248,75,2,0,2024-12-03,2025-11-28,72.36,10854,0.3024193548387097
BKR,248,75,2,2,2024-12-03,2025-11-28,50.2,7530,0.3024193548387097
LULU,248,75,5,2,2024-12-03,2025-11-28,184.18,27627,0.3024193548387097
NCLH,248,74,10,1,2024-12-03,2025-11-28,18.46,2769,0.29838709677419356
MTCH,248,74,6,1,2024-12-03,2025-11-28,33.31,4997,0.29838709677419356
COO,248,74,3,0,2024-12-03,2025-11-28,77.93,11690,0.29838709677419356
DDOG,248,74,10,3,2024-12-03,2025-11-28,160.01,24001,0.29838709677419356
STLD,248,74,6,2,2024-12-03,2025-11-28,167.83,25175,0.29838709677419356
TRMB,248,74,1,1,2024-12-03,2025-11-28,81.42,12213,0.29838709677419356
C,248,74,2,0,2024-12-03,2025-11-28,103.6,15540,0.29838709677419356
EPAM,248,74,6,2,2024-12-03,2025-11-28,187.0,28050,0.29838709677419356
PYPL,248,73,1,1,2024-12-03,2025-11-28,62.69,9403,0.29435483870967744
ELV,248,73,2,0,2024-12-03,2025-11-28,338.26,50739,0.29435483870967744
LEN,248,73,6,0,2024-12-03,2025-11-28,131.3,19695,0.29435483870967744
LII,248,73,2,0,2024-12-03,2025-11-28,498.87,74830,0.29435483870967744
IQV,248,73,4,1,2024-12-03,2025-11-28,230.01,34501,0.29435483870967744
DXCM,248,73,9,2,2024-12-03,2025-11-28,63.47,9521,0.29435483870967744
OXY,248,73,4,1,2024-12-03,2025-11-28,42.0,6300,0.29435483870967744
MS,248,72,1,1,2024-12-03,2025-11-28,169.66,25449,0.2903225806451613
DHI,248,72,7,1,2024-12-03,2025-11-28,159.01,23851,0.2903225806451613
INCY,248,72,4,1,2024-12-03,2025-11-28,104.46,15669,0.2903225806451613
F,248,72,3,1,2024-12-03,2025-11-28,13.28,1992,0.2903225806451613
IRM,248,72,1,0,2024-12-03,2025-11-28,86.35,12952,0.2903225806451613
CHTR,248,72,2,1,2024-12-03,2025-11-28,200.12,30018,0.2903225806451613
CF,248,72,3,0,2024-12-03,2025-11-28,78.7,11805,0.2903225806451613
PODD,248,71,5,1,2024-12-03,2025-11-28,327.19,49079,0.2862903225806452
BA,248,71,4,1,2024-12-03,2025-11-28,189.0,28350,0.2862903225806452
HII,248,71,8,1,2024-12-03,2025-11-28,313.62,47043,0.2862903225806452
TECH,248,71,8,1,2024-12-03,2025-11-28,64.51,9677,0.2862903225806452
CFG,248,71,2,0,2024-12-03,2025-11-28,54.1,8115,0.2862903225806452
QCOM,248,71,3,2,2024-12-03,2025-11-28,168.09,25213,0.2862903225806452
UHS,248,71,3,0,2024-12-03,2025-11-28,243.63,36545,0.2862903225806452
CDNS,248,71,6,1,2024-12-03,2025-11-28,311.84,46776,0.2862903225806452
PSX,248,71,3,1,2024-12-03,2025-11-28,136.96,20544,0.2862903225806452
COF,248,71,2,1,2024-12-03,2025-11-28,219.07,32861,0.2862903225806452
JCI,248,70,3,2,2024-12-03,2025-11-28,116.31,17446,0.28225806451612906
IVZ,248,70,6,2,2024-12-03,2025-11-28,24.45,3668,0.28225806451612906
HCA,248,70,1,0,2024-12-03,2025-11-28,508.29,76244,0.28225806451612906
VTRS,248,70,4,1,2024-12-03,2025-11-28,10.69,1603,0.28225806451612906
PSKY,248,70,9,3,2024-12-03,2025-11-28,16.02,2403,0.28225806451612906
TKO,248,70,3,1,2024-12-03,2025-11-28,193.89,29083,0.28225806451612906
WMB,248,70,0,0,2024-12-03,2025-11-28,60.93,9140,0.28225806451612906
SJM,248,70,1,0,2024-12-03,2025-11-28,104.18,15627,0.28225806451612906
ADI,248,70,6,1,2024-12-03,2025-11-28,265.34,39801,0.28225806451612906
HUBB,248,69,2,1,2024-12-03,2025-11-28,431.43,64714,0.2782258064516129
HAL,248,69,6,2,2024-12-03,2025-11-28,26.22,3933,0.2782258064516129
GILD,248,69,3,0,2024-12-03,2025-11-28,125.84,18876,0.2782258064516129
MMM,248,69,4,0,2024-12-03,2025-11-28,172.05,25808,0.2782258064516129
WFC,248,69,3,0,2024-12-03,2025-11-28,85.85,12877,0.2782258064516129
DD,248,69,4,1,2024-12-03,2025-11-28,39.77,5966,0.2782258064516129
VRTX,248,69,1,0,2024-12-03,2025-11-28,433.61,65041,0.2782258064516129
COP,248,69,1,1,2024-12-03,2025-11-28,88.69,13304,0.2782258064516129
CVS,248,69,3,1,2024-12-03,2025-11-28,80.36,12054,0.2782258064516129
DG,248,69,5,1,2024-12-03,2025-11-28,109.49,16423,0.2782258064516129
SRE,248,69,2,0,2024-12-03,2025-11-28,94.72,14208,0.2782258064516129
ERIE,248,69,3,0,2024-12-03,2025-11-28,295.49,44323,0.2782258064516129
EMR,248,69,2,1,2024-12-03,2025-11-28,133.38,20007,0.2782258064516129
CBRE,248,69,3,0,2024-12-03,2025-11-28,161.83,24275,0.2782258064516129
ZBRA,248,69,5,2,2024-12-03,2025-11-28,252.75,37912,0.2782258064516129
EIX,248,68,2,0,2024-12-03,2025-11-28,58.89,8833,0.27419354838709675
ALGN,248,68,7,1,2024-12-03,2025-11-28,147.19,22079,0.27419354838709675
CPAY,248,68,3,1,2024-12-03,2025-11-28,295.8,44370,0.27419354838709675
GPN,248,68,5,1,2024-12-03,2025-11-28,75.76,11364,0.27419354838709675
LUV,248,68,8,1,2024-12-03,2025-11-28,34.81,5222,0.27419354838709675
ARE,248,68,1,0,2024-12-03,2025-11-28,53.67,8050,0.27419354838709675
SWKS,248,68,7,1,2024-12-03,2025-11-28,65.95,9892,0.27419354838709675
MGM,248,67,9,2,2024-12-03,2025-11-28,35.29,5294,0.2701612903225806
IP,248,67,5,0,2024-12-03,2025-11-28,39.48,5922,0.2701612903225806
BLDR,248,67,13,0,2024-12-03,2025-11-28,112.23,16835,0.2701612903225806
SW,248,67,5,1,2024-12-03,2025-11-28,35.69,5353,0.2701612903225806
BAX,248,67,3,0,2024-12-03,2025-11-28,18.74,2811,0.2701612903225806
BIIB,248,67,4,1,2024-12-03,2025-11-28,182.09,27313,0.2701612903225806
LYV,248,67,1,1,2024-12-03,2025-11-28,131.45,19717,0.2701612903225806
ODFL,248,67,5,2,2024-12-03,2025-11-28,135.29,20293,0.2701612903225806
GEHC,248,67,4,1,2024-12-03,2025-11-28,79.99,11998,0.2701612903225806
ROK,248,67,3,3,2024-12-03,2025-11-28,395.86,59379,0.2701612903225806
WST,248,67,5,2,2024-12-03,2025-11-28,277.25,41588,0.2701612903225806
A,248,67,4,0,2024-12-03,2025-11-28,153.5,23025,0.2701612903225806
WDAY,248,67,6,0,2024-12-03,2025-11-28,215.62,32343,0.2701612903225806
FDX,248,67,5,1,2024-12-03,2025-11-28,275.68,41352,0.2701612903225806
NXPI,248,67,9,1,2024-12-03,2025-11-28,194.94,29241,0.2701612903225806
MRK,248,67,4,0,2024-12-03,2025-11-28,104.83,15725,0.2701612903225806
SLB,248,66,3,1,2024-12-03,2025-11-28,36.24,5436,0.2661290322580645
CMI,248,66,4,1,2024-12-03,2025-11-28,497.98,74697,0.2661290322580645
TXN,248,66,5,1,2024-12-03,2025-11-28,168.27,25241,0.2661290322580645
IR,248,66,3,0,2024-12-03,2025-11-28,80.34,12051,0.2661290322580645
EBAY,248,66,2,1,2024-12-03,2025-11-28,82.79,12419,0.2661290322580645
ORLY,248,66,0,0,2024-12-03,2025-11-28,101.7,15255,0.2661290322580645
MAR,248,65,2,1,2024-12-03,2025-11-28,304.79,45719,0.2620967741935484
STT,248,65,1,0,2024-12-03,2025-11-28,119.02,17853,0.2620967741935484
KEY,248,65,2,0,2024-12-03,2025-11-28,18.38,2757,0.2620967741935484
PAYC,248,65,2,1,2024-12-03,2025-11-28,161.17,24175,0.2620967741935484
NKE,248,65,5,2,2024-12-03,2025-11-28,64.63,9694,0.2620967741935484
FOXA,248,65,5,0,2024-12-03,2025-11-28,65.5,9825,0.2620967741935484
CDW,248,65,3,0,2024-12-03,2025-11-28,144.22,21633,0.2620967741935484
GRMN,248,65,2,2,2024-12-03,2025-11-28,195.32,29298,0.2620967741935484
MHK,248,64,6,1,2024-12-03,2025-11-28,115.9,17385,0.25806451612903225
PLD,248,64,4,0,2024-12-03,2025-11-28,128.53,19279,0.25806451612903225
NEE,248,64,3,0,2024-12-03,2025-11-28,86.29,12944,0.25806451612903225
JBHT,248,64,4,1,2024-12-03,2025-11-28,173.96,26094,0.25806451612903225
AXP,248,64,3,1,2024-12-03,2025-11-28,365.27,54790,0.25806451612903225
GM,248,64,6,1,2024-12-03,2025-11-28,73.52,11028,0.25806451612903225
SOLV,248,64,5,0,2024-12-03,2025-11-28,85.26,12789,0.25806451612903225
CBOE,248,64,0,0,2024-12-03,2025-11-28,258.17,38726,0.25806451612903225
ADM,248,64,2,0,2024-12-03,2025-11-28,60.74,9111,0.25806451612903225
CINF,248,64,1,0,2024-12-03,2025-11-28,167.59,25138,0.25806451612903225
EXPD,248,64,3,1,2024-12-03,2025-11-28,146.9,22035,0.25806451612903225
TGT,248,64,2,1,2024-12-03,2025-11-28,90.62,13593,0.25806451612903225
HSY,248,64,2,1,2024-12-03,2025-11-28,188.08,28212,0.25806451612903225
BG,248,64,5,1,2024-12-03,2025-11-28,96.07,14410,0.25806451612903225
LYB,248,64,8,1,2024-12-03,2025-11-28,48.99,7349,0.25806451612903225
CHRW,248,64,5,2,2024-12-03,2025-11-28,158.87,23830,0.25806451612903225
TMUS,248,63,2,0,2024-12-03,2025-11-28,209.01,31351,0.2540322580645161
SBUX,248,63,3,1,2024-12-03,2025-11-28,87.11,13067,0.2540322580645161
LKQ,248,63,3,0,2024-12-03,2025-11-28,29.69,4454,0.2540322580645161
TEL,248,63,4,1,2024-12-03,2025-11-28,226.15,33922,0.2540322580645161
NTRS,248,63,3,1,2024-12-03,2025-11-28,131.34,19701,0.2540322580645161
UPS,248,63,3,0,2024-12-03,2025-11-28,95.79,14369,0.2540322580645161
HBAN,248,63,1,0,2024-12-03,2025-11-28,16.3,2445,0.2540322580645161
AMGN,248,63,3,0,2024-12-03,2025-11-28,345.46,51819,0.2540322580645161
HAS,248,63,4,2,2024-12-03,2025-11-28,82.6,12390,0.2540322580645161
ABNB,248,63,3,2,2024-12-03,2025-11-28,116.99,17548,0.2540322580645161
AKAM,248,63,3,2,2024-12-03,2025-11-28,89.52,13428,0.2540322580645161
BEN,248,63,3,2,2024-12-03,2025-11-28,22.59,3389,0.2540322580645161
DHR,248,63,5,0,2024-12-03,2025-11-28,226.78,34017,0.2540322580645161
HPQ,248,63,4,1,2024-12-03,2025-11-28,24.42,3663,0.2540322580645161
CI,248,63,2,0,2024-12-03,2025-11-28,277.28,41592,0.2540322580645161
POOL,248,62,5,0,2024-12-03,2025-11-28,243.6,36540,0.25
CRM,248,62,3,1,2024-12-03,2025-11-28,230.54,34581,0.25
BMY,248,62,2,0,2024-12-03,2025-11-28,49.2,7380,0.25
ROST,248,62,2,0,2024-12-03,2025-11-28,176.36,26454,0.25
TFC,248,62,3,0,2024-12-03,2025-11-28,46.5,6975,0.25
CARR,248,62,2,1,2024-12-03,2025-11-28,54.88,8232,0.25
WAB,248,62,2,0,2024-12-03,2025-11-28,208.55,31283,0.25
JPM,248,62,1,0,2024-12-03,2025-11-28,313.08,46962,0.25
LW,248,62,7,2,2024-12-03,2025-11-28,59.06,8859,0.25
ADSK,248,61,3,1,2024-12-03,2025-11-28,303.34,45501,0.24596774193548387
KEYS,248,61,3,2,2024-12-03,2025-11-28,197.95,29692,0.24596774193548387
EFX,248,61,4,1,2024-12-03,2025-11-28,212.37,31855,0.24596774193548387
ABBV,248,61,1,0,2024-12-03,2025-11-28,227.7,34155,0.24596774193548387
KR,248,61,3,0,2024-12-03,2025-11-28,67.28,10092,0.24596774193548387
OMC,248,61,2,0,2024-12-03,2025-11-28,71.62,10743,0.24596774193548387
HSIC,248,61,2,1,2024-12-03,2025-11-28,74.57,11185,0.24596774193548387
FOX,248,61,3,0,2024-12-03,2025-11-28,58.26,8739,0.24596774193548387
ES,248,60,1,0,2024-12-03,2025-11-28,67.18,10077,0.24193548387096775
PM,248,60,1,1,2024-12-03,2025-11-28,157.48,23622,0.24193548387096775
XOM,248,60,0,0,2024-12-03,2025-11-28,115.92,17388,0.24193548387096775
NDSN,248,60,3,1,2024-12-03,2025-11-28,237.66,35649,0.24193548387096775
RF,248,60,3,0,2024-12-03,2025-11-28,25.45,3818,0.24193548387096775
PFE,248,60,3,0,2024-12-03,2025-11-28,25.74,3861,0.24193548387096775
DLR,248,60,2,0,2024-12-03,2025-11-28,160.12,24018,0.24193548387096775
ZBH,248,60,1,0,2024-12-03,2025-11-28,97.52,14628,0.24193548387096775
CPB,248,60,2,0,2024-12-03,2025-11-28,30.48,4572,0.24193548387096775
SCHW,248,60,2,0,2024-12-03,2025-11-28,92.73,13910,0.24193548387096775
ALL,248,60,2,0,2024-12-03,2025-11-28,212.98,31947,0.24193548387096775
BAC,248,60,1,0,2024-12-03,2025-11-28,53.65,8048,0.24193548387096775
MKC,248,60,2,0,2024-12-03,2025-11-28,67.48,10122,0.24193548387096775
TSCO,248,59,2,0,2024-12-03,2025-11-28,54.78,8217,0.23790322580645162
WELL,248,59,0,0,2024-12-03,2025-11-28,208.22,31233,0.23790322580645162
LDOS,248,59,2,0,2024-12-03,2025-11-28,191.1,28665,0.23790322580645162
VRSN,248,59,2,0,2024-12-03,2025-11-28,251.99,37799,0.23790322580645162
PHM,248,59,7,1,2024-12-03,2025-11-28,127.19,19079,0.23790322580645162
T,248,59,1,0,2024-12-03,2025-11-28,26.02,3903,0.23790322580645162
AJG,248,59,0,0,2024-12-03,2025-11-28,247.62,37143,0.23790322580645162
IT,248,59,3,0,2024-12-03,2025-11-28,232.74,34911,0.23790322580645162
CSGP,248,59,3,0,2024-12-03,2025-11-28,68.8,10320,0.23790322580645162
CAG,248,59,1,0,2024-12-03,2025-11-28,17.85,2678,0.23790322580645162
EOG,248,59,1,0,2024-12-03,2025-11-28,107.85,16177,0.23790322580645162
TT,248,58,2,0,2024-12-03,2025-11-28,421.48,63222,0.23387096774193547
BK,248,58,2,0,2024-12-03,2025-11-28,112.1,16815,0.23387096774193547
CSCO,248,58,1,0,2024-12-03,2025-11-28,76.94,11541,0.23387096774193547
D,248,58,1,0,2024-12-03,2025-11-28,62.77,9416,0.23387096774193547
PFG,248,58,1,1,2024-12-03,2025-11-28,84.82,12723,0.23387096774193547
AAPL,248,58,3,1,2024-12-03,2025-11-28,278.85,41828,0.23387096774193547
TTWO,248,58,2,1,2024-12-03,2025-11-28,246.07,36911,0.23387096774193547
VMC,248,58,2,0,2024-12-03,2025-11-28,297.24,44586,0.23387096774193547
PCG,248,58,2,0,2024-12-03,2025-11-28,16.12,2418,0.23387096774193547
SBAC,248,58,3,0,2024-12-03,2025-11-28,194.27,29141,0.23387096774193547
ETR,248,58,1,0,2024-12-03,2025-11-28,97.52,14628,0.23387096774193547
DE,248,58,2,0,2024-12-03,2025-11-28,464.49,69673,0.23387096774193547
HLT,248,58,1,0,2024-12-03,2025-11-28,285.03,42754,0.23387096774193547
MET,248,58,1,0,2024-12-03,2025-11-28,76.56,11484,0.23387096774193547
FFIV,248,58,2,1,2024-12-03,2025-11-28,239.16,35874,0.23387096774193547
KVUE,248,58,2,1,2024-12-03,2025-11-28,17.35,2603,0.23387096774193547
ACGL,248,57,1,0,2024-12-03,2025-11-28,93.92,14088,0.22983870967741934
RMD,248,57,2,1,2024-12-03,2025-11-28,255.83,38375,0.22983870967741934
FTV,248,57,1,0,2024-12-03,2025-11-28,53.48,8022,0.22983870967741934
GIS,248,57,0,0,2024-12-03,2025-11-28,47.35,7102,0.22983870967741934
FITB,248,57,2,0,2024-12-03,2025-11-28,43.46,6519,0.22983870967741934
FIS,248,57,2,0,2024-12-03,2025-11-28,65.77,9865,0.22983870967741934
SPG,248,57,2,0,2024-12-03,2025-11-28,186.32,27948,0.22983870967741934
MCO,248,57,1,1,2024-12-03,2025-11-28,490.78,73617,0.22983870967741934
MAS,248,57,2,1,2024-12-03,2025-11-28,64.87,9731,0.22983870967741934
CMG,248,57,3,1,2024-12-03,2025-11-28,34.52,5178,0.22983870967741934
KDP,248,57,1,0,2024-12-03,2025-11-28,27.9,4185,0.22983870967741934
WY,248,57,2,0,2024-12-03,2025-11-28,22.21,3331,0.22983870967741934
FISV,247,56,2,0,2024-12-03,2025-11-28,61.47,9221,0.22672064777327935
DOC,248,56,0,0,2024-12-03,2025-11-28,18.26,2739,0.22580645161290322
COR,248,56,0,0,2024-12-03,2025-11-28,368.93,55339,0.22580645161290322
GL,248,56,3,0,2024-12-03,2025-11-28,134.73,20209,0.22580645161290322
ADBE,248,56,1,0,2024-12-03,2025-11-28,320.13,48020,0.22580645161290322
KMI,248,56,0,0,2024-12-03,2025-11-28,27.32,4098,0.22580645161290322
CAH,248,56,1,1,2024-12-03,2025-11-28,212.26,31839,0.22580645161290322
ACN,248,56,2,0,2024-12-03,2025-11-28,250.0,37500,0.22580645161290322
KHC,248,56,1,0,2024-12-03,2025-11-28,25.51,3827,0.22580645161290322
TXT,248,55,2,0,2024-12-03,2025-11-28,83.16,12474,0.2217741935483871
CTVA,248,55,2,0,2024-12-03,2025-11-28,67.47,10121,0.2217741935483871
USB,248,55,1,0,2024-12-03,2025-11-28,49.05,7357,0.2217741935483871
KIM,248,55,1,0,2024-12-03,2025-11-28,20.66,3099,0.2217741935483871
DPZ,248,55,3,0,2024-12-03,2025-11-28,419.63,62945,0.2217741935483871
AEP,248,55,1,0,2024-12-03,2025-11-28,123.77,18565,0.2217741935483871
EG,248,55,0,0,2024-12-03,2025-11-28,314.29,47144,0.2217741935483871
OKE,248,55,1,0,2024-12-03,2025-11-28,72.82,10923,0.2217741935483871
PPG,248,55,2,1,2024-12-03,2025-11-28,100.04,15006,0.2217741935483871
BSX,248,55,1,0,2024-12-03,2025-11-28,101.58,15237,0.2217741935483871
GPC,248,54,2,0,2024-12-03,2025-11-28,130.4,19560,0.21774193548387097
AOS,248,54,0,0,2024-12-03,2025-11-28,65.98,9897,0.21774193548387097
GDDY,248,54,2,0,2024-12-03,2025-11-28,127.86,19179,0.21774193548387097
AIZ,248,54,2,1,2024-12-03,2025-11-28,228.16,34224,0.21774193548387097
MO,248,54,0,0,2024-12-03,2025-11-28,59.01,8851,0.21774193548387097
BALL,248,54,0,0,2024-12-03,2025-11-28,49.53,7429,0.21774193548387097
RJF,248,54,1,0,2024-12-03,2025-11-28,156.54,23481,0.21774193548387097
PGR,248,54,0,0,2024-12-03,2025-11-28,228.79,34318,0.21774193548387097
CMCSA,248,54,1,0,2024-12-03,2025-11-28,26.69,4004,0.21774193548387097
WMT,248,54,2,0,2024-12-03,2025-11-28,110.51,16577,0.21774193548387097
J,248,54,1,0,2024-12-03,2025-11-28,134.81,20221,0.21774193548387097
AVY,248,53,3,0,2024-12-03,2025-11-28,172.37,25855,0.21370967741935484
TJX,248,53,1,0,2024-12-03,2025-11-28,151.92,22788,0.21370967741935484
IFF,248,53,1,0,2024-12-03,2025-11-28,69.48,10422,0.21370967741935484
AIG,248,53,1,0,2024-12-03,2025-11-28,76.16,11424,0.21370967741935484
MTB,248,53,1,0,2024-12-03,2025-11-28,190.22,28533,0.21370967741935484
LH,248,53,2,0,2024-12-03,2025-11-28,268.78,40317,0.21370967741935484
BDX,248,53,1,0,2024-12-03,2025-11-28,194.02,29103,0.21370967741935484
AWK,248,53,2,0,2024-12-03,2025-11-28,130.07,19511,0.21370967741935484
TSN,248,53,1,0,2024-12-03,2025-11-28,58.05,8707,0.21370967741935484
IEX,248,53,1,0,2024-12-03,2025-11-28,173.93,26089,0.21370967741935484
ESS,248,53,1,0,2024-12-03,2025-11-28,263.62,39543,0.21370967741935484
